Ion	Align	Lambda	ID	Cusp	CIns	BG	BGIns	WillSP	WilldSP	ModelB	ModelH	ModelQ	ModelR	ModelS	ModelT	ModelU	ModelV
Ar_3	auto	5192	Ar3	Nan	Nan	Nan	Nan	Nan	Nan	0.138405	0.162163	0.162163	0.0894764	0.0972511	0.0983459	0.096205	0.0986966
Ar_3	auto	7135	Ar3	13.1	1.38	12.1	1.5	16.549	1.3641	26.7987	24.3572	16.55	13.7858	14.8374	15.5458	15.2872	15.5668
Ar_4	auto	4711	Ar4	Nan	Nan	Nan	Nan	Nan	Nan	0.009042	0.010408	0.010408	0.0059893	0.0062789	0.0061882	0.0056715	0.0062719
Ar_4	auto	4740	Ar4	Nan	Nan	Nan	Nan	Nan	Nan	0.015009	0.0166623	0.0166623	0.0095394	0.0100513	0.0099903	0.0094481	0.010197
C_2p	auto	6580	X	Nan	Nan	Nan	Nan	Nan	Nan	7.0323e-18	Nan	Nan	Nan	7.194e-18	7.113e-18	6.866e-18	6.928e-18
C_2r	auto	6580	X	Nan	Nan	Nan	Nan	Nan	Nan	0.0120239	Nan	Nan	Nan	0.0145375	0.0144469	0.0142917	0.0144834
C__2	auto	4267	C2	0.122	0.048	0.275	0.027	0.15636	0.033473	0.149849	0.170245	0.170245	0.168497	0.168835	0.169876	0.168732	0.170289
C__2	auto	6580	X	Nan	Nan	Nan	Nan	Nan	Nan	7.0323e-18	Nan	Nan	Nan	Nan	7.113e-18	6.866e-18	6.928e-18
C__3	auto	1907	C3	Nan	Nan	Nan	Nan	Nan	Nan	5.89194	15.0206	15.0206	13.9917	14.2362	12.7352	12.1417	12.7023
C__3	auto	1910	C3	Nan	Nan	Nan	Nan	Nan	Nan	8.01603	20.0031	20.0031	18.5117	18.9558	17.0297	16.5114	17.1781
Cl_3	auto	5518	Cl3	0.171	0.039	0.400	0.083	0.14151	0.046494	0.303865	0.140855	0.140855	0.137183	0.137607	0.13227	0.128053	0.131163
Cl_3	auto	5538	Cl3	0.266	0.038	0.480	0.085	0.28476	0.067482	0.764414	0.352365	0.352365	0.342049	0.344104	0.331624	0.324185	0.330551
Fe_3	auto	4608	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.051529	0.0218655	0.0218655	0.0652276	0.0427093	0.0408236	0.0406971	0.0409423
Fe_3	auto	4659	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.652761	0.276478	0.276478	0.824792	0.539636	0.516347	0.512442	0.516182
Fe_3	auto	4702	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.300551	0.127532	0.127532	0.380458	0.249106	0.238112	0.237375	0.238801
Fe_3	auto	4734	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.146123	0.0620599	0.0620599	0.185134	0.121292	0.115858	0.115914	0.116492
Fe_3	auto	4755	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.119371	0.0505606	0.0505606	0.15083	0.0986867	0.0944263	0.0937123	0.0943965
Fe_3	auto	4881	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.338102	0.141006	0.141006	0.420592	0.275087	0.264186	0.261366	0.263357
Fe_3	auto	4988	Fe3	Nan	Nan	Nan	Nan	Nan	Nan	0.058052	0.0242116	0.0242116	0.0722165	0.0472332	0.0453616	0.0448777	0.0452198
Fe_3	auto	5271	Fe3	0.297	0.039	0.330	0.037	0.34503	0.06083	0.406797	0.168224	0.34	0.503169	0.328892	0.315694	0.313552	0.315643
H__1	auto	4861	H1	100.0	34.4	100.0	14.8	100.	0.0	100	100	100	100	100	100	100	100
H__1	auto	6563	H1	235.6	2.2	2.76.5	7.9	281.26	41.538	286.79	285.718	285.718	285.547	285.574	285.854	285.994	285.563
He_1	auto	4471	He1	Nan	Nan	Nan	Nan	Nan	Nan	4.56497	4.52171	4.52171	4.49288	4.49764	4.49814	4.46215	4.49827
He_1	auto	5876	He1	10.3	2.1	13.9	0.32	12.272	2.0231	14.0138	13.9894	13.9894	13.8843	13.9053	13.8884	13.7938	13.8915
